***  Installation Started 06/24/03 9:24  ***
Title: Blinker 7.0 Installation
Source: A:\SETUP.EXE
Made Dir: F:\APLICA.DOS\LENGUAJE\Blinker7
File Copy: F:\APLICA.DOS\LENGUAJE\Blinker7\UNWISE.EXE
RegDB Key: Software\Microsoft\Windows\CurrentVersion\Uninstall\Blinker 7.0
RegDB Val: Blinker 7.0
RegDB Name: DisplayName
RegDB Root: 2
RegDB Key: Software\Microsoft\Windows\CurrentVersion\Uninstall\Blinker 7.0
RegDB Val: F:\APLICA.DOS\LENGUAJE\BLINKER7\UNWISE.EXE F:\APLICA.DOS\LENGUAJE\BLINKER7\INSTALL.LOG
RegDB Name: UninstallString
RegDB Root: 2
Made Dir: F:\APLICA.DOS\LENGUAJE\Blinker7\Zaf
File Copy: F:\APLICA.DOS\LENGUAJE\Blinker7\Zaf\Hello.lnk
Made Dir: F:\APLICA.DOS\LENGUAJE\Blinker7\Xpp
Made Dir: F:\APLICA.DOS\LENGUAJE\Blinker7\Xpp\Dll
File Copy: F:\APLICA.DOS\LENGUAJE\Blinker7\Xpp\Dll\Xdll2.lnk
File Copy: F:\APLICA.DOS\LENGUAJE\Blinker7\3rdparty.txt
Made Dir: F:\APLICA.DOS\LENGUAJE\Blinker7\Asm
File Copy: F:\APLICA.DOS\LENGUAJE\Blinker7\Asm\Blerrprg.asm
File Copy: F:\APLICA.DOS\LENGUAJE\Blinker7\Asm\Limerick.asm
File Copy: F:\APLICA.DOS\LENGUAJE\Blinker7\Asm\Test.asm
File Copy: F:\APLICA.DOS\LENGUAJE\Blinker7\Asm\Testovl.lnk
Made Dir: F:\APLICA.DOS\LENGUAJE\Blinker7\Bas
File Copy: F:\APLICA.DOS\LENGUAJE\Blinker7\Bas\Blerrprg.bas
File Copy: F:\APLICA.DOS\LENGUAJE\Blinker7\Bas\Blinker.bi
File Copy: F:\APLICA.DOS\LENGUAJE\Blinker7\Bas\Limerick.bas
File Copy: F:\APLICA.DOS\LENGUAJE\Blinker7\Bas\Swapdemo.bas
File Copy: F:\APLICA.DOS\LENGUAJE\Blinker7\Bas\Test.bas
File Copy: F:\APLICA.DOS\LENGUAJE\Blinker7\Bas\Testovl.lnk
Made Dir: F:\APLICA.DOS\LENGUAJE\Blinker7\Bin
File Copy: F:\APLICA.DOS\LENGUAJE\Blinker7\Bin\Bcc286.bat
File Copy: F:\APLICA.DOS\LENGUAJE\Blinker7\Bin\Blibld.exe
File Copy: F:\APLICA.DOS\LENGUAJE\Blinker7\Bin\Blicfg.exe
File Copy: F:\APLICA.DOS\LENGUAJE\Blinker7\Bin\Bligpf.exe
File Copy: F:\APLICA.DOS\LENGUAJE\Blinker7\Bin\Blilib.exe
File Copy: F:\APLICA.DOS\LENGUAJE\Blinker7\Bin\Blinker.com
File Copy: F:\APLICA.DOS\LENGUAJE\Blinker7\Bin\Blinkmem.exe
File Copy: F:\APLICA.DOS\LENGUAJE\Blinker7\Blinker.hlp
Made Dir: F:\APLICA.DOS\LENGUAJE\Blinker7\C
File Copy: F:\APLICA.DOS\LENGUAJE\Blinker7\C\All.nmk
File Copy: F:\APLICA.DOS\LENGUAJE\Blinker7\C\Apitst.c
File Copy: F:\APLICA.DOS\LENGUAJE\Blinker7\C\Blerrprg.c
File Copy: F:\APLICA.DOS\LENGUAJE\Blinker7\C\Blinker.h
File Copy: F:\APLICA.DOS\LENGUAJE\Blinker7\C\Blx286.h
Made Dir: F:\APLICA.DOS\LENGUAJE\Blinker7\C\Dll
Made Dir: F:\APLICA.DOS\LENGUAJE\Blinker7\C\Dll\Dyn
